SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE
1018GS2026,GS,07-May-2026,104.59,104.58,104.58,104.5,104.5,155,0.16,4,155.0,100.0,2026-05-07
20MICRONS,EQ,07-May-2026,182.32,183.8,186.7,182.32,184.2,89735,165.76,1810,51904.0,57.84,2026-05-07
21STCENMGM,EQ,07-May-2026,35.25,35.25,35.69,34.6,34.7,6312,2.22,57,5762.0,91.29,2026-05-07
360ONE,EQ,07-May-2026,1084.1,1084.1,1118.0,1083.0,1111.7,809803,8944.28,25234,392227.0,48.43,2026-05-07
3BBLACKBIO,EQ,07-May-2026,1318.0,1308.7,1319.8,1281.0,1299.6,19427,252.41,694,17347.0,89.29,2026-05-07
3IINFOLTD,EQ,07-May-2026,17.43,17.79,17.79,17.43,17.67,240910,42.41,1239,160058.0,66.44,2026-05-07
3MINDIA,EQ,07-May-2026,32525.0,32500.0,32960.0,32445.0,32650.0,1677,548.98,1206,793.0,47.29,2026-05-07
3PLAND,EQ,07-May-2026,35.25,35.08,36.5,35.0,36.0,2186,0.79,54,1942.0,88.84,2026-05-07
574GS2026,GS,07-May-2026,101.99,102.25,103.9,102.25,103.9,62,0.06,3,62.0,100.0,2026-05-07
579GS2030,GS,07-May-2026,97.15,100.37,100.37,100.37,100.37,1,0.0,1,1.0,100.0,2026-05-07
591GS2028,GS,07-May-2026,100.65,100.46,100.46,100.46,100.46,5,0.01,1,5.0,100.0,2026-05-07
5PAISA,EQ,07-May-2026,339.4,343.0,343.85,334.4,339.95,46928,159.45,1349,18510.0,39.44,2026-05-07
601GS2030,GS,07-May-2026,98.5,98.11,98.5,98.11,98.5,200,0.2,2,100.0,50.0,2026-05-07
610GS2031,GS,07-May-2026,102.0,97.1,102.0,97.1,102.0,5,0.0,3,3.0,60.0,2026-05-07
63MOONS,EQ,07-May-2026,740.9,743.6,759.0,732.85,741.0,93901,701.52,4504,31796.0,33.86,2026-05-07
648GS2035,GS,07-May-2026,97.74,98.2,98.2,95.41,97.17,601,0.58,8,501.0,83.36,2026-05-07
664GS2027,GS,07-May-2026,101.46,101.91,101.91,101.91,101.91,100,0.1,1,100.0,100.0,2026-05-07
667GS2050,GS,07-May-2026,94.9,94.9,94.9,94.9,94.9,12,0.01,2,12.0,100.0,2026-05-07
668GS2040,GS,07-May-2026,96.99,97.0,97.0,96.99,96.99,124,0.12,2,124.0,100.0,2026-05-07
676GS2061,GS,07-May-2026,91.3,91.8,91.8,91.1,91.2,1004,0.92,12,1003.0,99.9,2026-05-07
679GS2031,GS,07-May-2026,102.0,102.0,102.0,102.0,102.0,100,0.1,1,100.0,100.0,2026-05-07
68GS2060,GS,07-May-2026,95.79,95.79,95.79,95.79,95.79,2,0.0,1,2.0,100.0,2026-05-07
690GS2065,GS,07-May-2026,91.55,91.5,91.94,91.2,91.8,35055,32.11,36,32095.0,91.56,2026-05-07
